architechure = vgg11, prune_ratio = 10, bit = 4, direction = bl, acc = 0.7799
architechure = vgg11, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8167
architechure = vgg11, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8056
architechure = vgg11, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8212
architechure = vgg11, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8239
architechure = vgg11, prune_ratio = 20, bit = 4, direction = bl, acc = 0.7536
architechure = vgg11, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8069
architechure = vgg11, prune_ratio = 20, bit = 6, direction = bl, acc = 0.7998
architechure = vgg11, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8146
architechure = vgg11, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8147
architechure = vgg11, prune_ratio = 30, bit = 4, direction = bl, acc = 0.7532
architechure = vgg11, prune_ratio = 30, bit = 5, direction = bl, acc = 0.797
architechure = vgg11, prune_ratio = 30, bit = 6, direction = bl, acc = 0.7805
architechure = vgg11, prune_ratio = 30, bit = 7, direction = bl, acc = 0.81
architechure = vgg11, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8113
architechure = vgg11, prune_ratio = 40, bit = 4, direction = bl, acc = 0.7535
architechure = vgg11, prune_ratio = 40, bit = 5, direction = bl, acc = 0.7876
architechure = vgg11, prune_ratio = 40, bit = 6, direction = bl, acc = 0.7831
architechure = vgg11, prune_ratio = 40, bit = 7, direction = bl, acc = 0.7994
architechure = vgg11, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8039
architechure = vgg11, prune_ratio = 50, bit = 4, direction = bl, acc = 0.7495
architechure = vgg11, prune_ratio = 50, bit = 5, direction = bl, acc = 0.78
architechure = vgg11, prune_ratio = 50, bit = 6, direction = bl, acc = 0.7771
architechure = vgg11, prune_ratio = 50, bit = 7, direction = bl, acc = 0.7917
architechure = vgg11, prune_ratio = 50, bit = 8, direction = bl, acc = 0.7958
architechure = vgg11, prune_ratio = 10, bit = 4, direction = br, acc = 0.5125
architechure = vgg11, prune_ratio = 10, bit = 5, direction = br, acc = 0.5953
architechure = vgg11, prune_ratio = 10, bit = 6, direction = br, acc = 0.581
architechure = vgg11, prune_ratio = 10, bit = 7, direction = br, acc = 0.6148
architechure = vgg11, prune_ratio = 10, bit = 8, direction = br, acc = 0.6198
architechure = vgg11, prune_ratio = 20, bit = 4, direction = br, acc = 0.468
architechure = vgg11, prune_ratio = 20, bit = 5, direction = br, acc = 0.5889
architechure = vgg11, prune_ratio = 20, bit = 6, direction = br, acc = 0.5671
architechure = vgg11, prune_ratio = 20, bit = 7, direction = br, acc = 0.6134
architechure = vgg11, prune_ratio = 20, bit = 8, direction = br, acc = 0.6161
architechure = vgg11, prune_ratio = 30, bit = 4, direction = br, acc = 0.5193
architechure = vgg11, prune_ratio = 30, bit = 5, direction = br, acc = 0.5688
architechure = vgg11, prune_ratio = 30, bit = 6, direction = br, acc = 0.5435
architechure = vgg11, prune_ratio = 30, bit = 7, direction = br, acc = 0.6047
architechure = vgg11, prune_ratio = 30, bit = 8, direction = br, acc = 0.6076
architechure = vgg11, prune_ratio = 40, bit = 4, direction = br, acc = 0.483
architechure = vgg11, prune_ratio = 40, bit = 5, direction = br, acc = 0.5558
architechure = vgg11, prune_ratio = 40, bit = 6, direction = br, acc = 0.5584
architechure = vgg11, prune_ratio = 40, bit = 7, direction = br, acc = 0.5921
architechure = vgg11, prune_ratio = 40, bit = 8, direction = br, acc = 0.5985
architechure = vgg11, prune_ratio = 50, bit = 4, direction = br, acc = 0.4962
architechure = vgg11, prune_ratio = 50, bit = 5, direction = br, acc = 0.5643
architechure = vgg11, prune_ratio = 50, bit = 6, direction = br, acc = 0.5642
architechure = vgg11, prune_ratio = 50, bit = 7, direction = br, acc = 0.59
architechure = vgg11, prune_ratio = 50, bit = 8, direction = br, acc = 0.5979
architechure = vgg11, prune_ratio = 10, bit = 4, direction = tl, acc = 0.1235
architechure = vgg11, prune_ratio = 10, bit = 5, direction = tl, acc = 0.1461
architechure = vgg11, prune_ratio = 10, bit = 6, direction = tl, acc = 0.1469
architechure = vgg11, prune_ratio = 10, bit = 7, direction = tl, acc = 0.1579
architechure = vgg11, prune_ratio = 10, bit = 8, direction = tl, acc = 0.1631
architechure = vgg11, prune_ratio = 20, bit = 4, direction = tl, acc = 0.119
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tl, acc = 0.145
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tl, acc = 0.1377
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tl, acc = 0.1592
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tl, acc = 0.1652
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tl, acc = 0.1551
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tl, acc = 0.1425
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tl, acc = 0.1274
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tl, acc = 0.1585
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tl, acc = 0.1719
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tl, acc = 0.1256
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tl, acc = 0.1441
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tl, acc = 0.1436
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tl, acc = 0.1618
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tl, acc = 0.172
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tl, acc = 0.1159
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tl, acc = 0.1504
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tl, acc = 0.1454
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tl, acc = 0.1815
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tl, acc = 0.188
architechure = vgg11, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1067
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tr, acc = 0.1
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1
architechure = alexnet, prune_ratio = 10, bit = 4, direction = bl, acc = 0.7321
architechure = alexnet, prune_ratio = 10, bit = 5, direction = bl, acc = 0.7623
architechure = alexnet, prune_ratio = 10, bit = 6, direction = bl, acc = 0.7637
architechure = alexnet, prune_ratio = 10, bit = 7, direction = bl, acc = 0.7703
architechure = alexnet, prune_ratio = 10, bit = 8, direction = bl, acc = 0.7704
architechure = alexnet, prune_ratio = 20, bit = 4, direction = bl, acc = 0.727
architechure = alexnet, prune_ratio = 20, bit = 5, direction = bl, acc = 0.7615
architechure = alexnet, prune_ratio = 20, bit = 6, direction = bl, acc = 0.7595
architechure = alexnet, prune_ratio = 20, bit = 7, direction = bl, acc = 0.7699
architechure = alexnet, prune_ratio = 20, bit = 8, direction = bl, acc = 0.7711
architechure = alexnet, prune_ratio = 30, bit = 4, direction = bl, acc = 0.7238
architechure = alexnet, prune_ratio = 30, bit = 5, direction = bl, acc = 0.7535
architechure = alexnet, prune_ratio = 30, bit = 6, direction = bl, acc = 0.7512
architechure = alexnet, prune_ratio = 30, bit = 7, direction = bl, acc = 0.7632
architechure = alexnet, prune_ratio = 30, bit = 8, direction = bl, acc = 0.7629
architechure = alexnet, prune_ratio = 40, bit = 4, direction = bl, acc = 0.7248
architechure = alexnet, prune_ratio = 40, bit = 5, direction = bl, acc = 0.7557
architechure = alexnet, prune_ratio = 40, bit = 6, direction = bl, acc = 0.7572
architechure = alexnet, prune_ratio = 40, bit = 7, direction = bl, acc = 0.7594
architechure = alexnet, prune_ratio = 40, bit = 8, direction = bl, acc = 0.76
architechure = alexnet, prune_ratio = 50, bit = 4, direction = bl, acc = 0.7142
architechure = alexnet, prune_ratio = 50, bit = 5, direction = bl, acc = 0.7497
architechure = alexnet, prune_ratio = 50, bit = 6, direction = bl, acc = 0.7477
architechure = alexnet, prune_ratio = 50, bit = 7, direction = bl, acc = 0.7594
architechure = alexnet, prune_ratio = 50, bit = 8, direction = bl, acc = 0.7578
architechure = alexnet, prune_ratio = 10, bit = 4, direction = br, acc = 0.5357
architechure = alexnet, prune_ratio = 10, bit = 5, direction = br, acc = 0.6013
architechure = alexnet, prune_ratio = 10, bit = 6, direction = br, acc = 0.5967
architechure = alexnet, prune_ratio = 10, bit = 7, direction = br, acc = 0.6129
architechure = alexnet, prune_ratio = 10, bit = 8, direction = br, acc = 0.6184
architechure = alexnet, prune_ratio = 20, bit = 4, direction = br, acc = 0.526
architechure = alexnet, prune_ratio = 20, bit = 5, direction = br, acc = 0.6013
architechure = alexnet, prune_ratio = 20, bit = 6, direction = br, acc = 0.6033
architechure = alexnet, prune_ratio = 20, bit = 7, direction = br, acc = 0.6169
architechure = alexnet, prune_ratio = 20, bit = 8, direction = br, acc = 0.6205
architechure = alexnet, prune_ratio = 30, bit = 4, direction = br, acc = 0.5214
architechure = alexnet, prune_ratio = 30, bit = 5, direction = br, acc = 0.5912
architechure = alexnet, prune_ratio = 30, bit = 6, direction = br, acc = 0.5867
architechure = alexnet, prune_ratio = 30, bit = 7, direction = br, acc = 0.6073
architechure = alexnet, prune_ratio = 30, bit = 8, direction = br, acc = 0.609
architechure = alexnet, prune_ratio = 40, bit = 4, direction = br, acc = 0.5122
architechure = alexnet, prune_ratio = 40, bit = 5, direction = br, acc = 0.5746
architechure = alexnet, prune_ratio = 40, bit = 6, direction = br, acc = 0.5804
architechure = alexnet, prune_ratio = 40, bit = 7, direction = br, acc = 0.5921
architechure = alexnet, prune_ratio = 40, bit = 8, direction = br, acc = 0.5924
architechure = alexnet, prune_ratio = 50, bit = 4, direction = br, acc = 0.5157
architechure = alexnet, prune_ratio = 50, bit = 5, direction = br, acc = 0.5825
architechure = alexnet, prune_ratio = 50, bit = 6, direction = br, acc = 0.5812
architechure = alexnet, prune_ratio = 50, bit = 7, direction = br, acc = 0.597
architechure = alexnet, prune_ratio = 50, bit = 8, direction = br, acc = 0.5974
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tl, acc = 0.2463
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tl, acc = 0.3482
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tl, acc = 0.3529
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tl, acc = 0.3798
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tl, acc = 0.3952
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tl, acc = 0.2384
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tl, acc = 0.3445
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tl, acc = 0.3427
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tl, acc = 0.3714
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tl, acc = 0.3809
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tl, acc = 0.2648
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tl, acc = 0.3529
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tl, acc = 0.3544
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tl, acc = 0.3831
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tl, acc = 0.3898
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tl, acc = 0.2568
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tl, acc = 0.3485
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tl, acc = 0.3428
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tl, acc = 0.3826
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tl, acc = 0.3824
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tl, acc = 0.2612
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tl, acc = 0.3738
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tl, acc = 0.3406
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tl, acc = 0.3986
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tl, acc = 0.4022
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1019
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1012
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1021
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1035
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1012
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1088
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tr, acc = 0.105
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1065
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tr, acc = 0.108
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1076
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tr, acc = 0.1066
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tr, acc = 0.107
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1073
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tr, acc = 0.1012
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1063
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tr, acc = 0.1062
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1063
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tr, acc = 0.107
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1114
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1062
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tr, acc = 0.112
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1106
architechure = resnet34, prune_ratio = 10, bit = 4, direction = bl, acc = 0.804
architechure = resnet34, prune_ratio = 10, bit = 5, direction = bl, acc = 0.837
architechure = resnet34, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8334
architechure = resnet34, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8446
architechure = resnet34, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8474
architechure = resnet34, prune_ratio = 20, bit = 4, direction = bl, acc = 0.775
architechure = resnet34, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8225
architechure = resnet34, prune_ratio = 20, bit = 6, direction = bl, acc = 0.8209
architechure = resnet34, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8386
architechure = resnet34, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8408
