architechure = vgg11, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8749
architechure = vgg11, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8894
architechure = vgg11, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8837
architechure = vgg11, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8885
architechure = vgg11, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8892
architechure = vgg11, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8721
architechure = vgg11, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8878
architechure = vgg11, prune_ratio = 20, bit = 6, direction = bl, acc = 0.8859
architechure = vgg11, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8873
architechure = vgg11, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8875
architechure = vgg11, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8761
architechure = vgg11, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8848
architechure = vgg11, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8813
architechure = vgg11, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8853
architechure = vgg11, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8855
architechure = vgg11, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8784
architechure = vgg11, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8864
architechure = vgg11, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8873
architechure = vgg11, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8877
architechure = vgg11, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8892
architechure = vgg11, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = bl, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8822
architechure = vgg11, prune_ratio = 10, bit = 4, direction = br, acc = 0.8066
architechure = vgg11, prune_ratio = 10, bit = 5, direction = br, acc = 0.8495
architechure = vgg11, prune_ratio = 10, bit = 6, direction = br, acc = 0.8327
architechure = vgg11, prune_ratio = 10, bit = 7, direction = br, acc = 0.8494
architechure = vgg11, prune_ratio = 10, bit = 8, direction = br, acc = 0.8507
architechure = vgg11, prune_ratio = 20, bit = 4, direction = br, acc = 0.8265
architechure = vgg11, prune_ratio = 20, bit = 5, direction = br, acc = 0.8616
architechure = vgg11, prune_ratio = 20, bit = 6, direction = br, acc = 0.8533
architechure = vgg11, prune_ratio = 20, bit = 7, direction = br, acc = 0.8611
architechure = vgg11, prune_ratio = 20, bit = 8, direction = br, acc = 0.8629
architechure = vgg11, prune_ratio = 30, bit = 4, direction = br, acc = 0.8538
architechure = vgg11, prune_ratio = 30, bit = 5, direction = br, acc = 0.8745
architechure = vgg11, prune_ratio = 30, bit = 6, direction = br, acc = 0.8666
architechure = vgg11, prune_ratio = 30, bit = 7, direction = br, acc = 0.876
architechure = vgg11, prune_ratio = 30, bit = 8, direction = br, acc = 0.8754
architechure = vgg11, prune_ratio = 40, bit = 4, direction = br, acc = 0.8721
architechure = vgg11, prune_ratio = 40, bit = 5, direction = br, acc = 0.8825
