architechure = vgg11, prune_ratio = 10, bit = 4, direction = bl, acc = 0.508
architechure = vgg11, prune_ratio = 10, bit = 5, direction = bl, acc = 0.5887
architechure = vgg11, prune_ratio = 10, bit = 6, direction = bl, acc = 0.5779
architechure = vgg11, prune_ratio = 10, bit = 7, direction = bl, acc = 0.6106
architechure = vgg11, prune_ratio = 10, bit = 8, direction = bl, acc = 0.6167
architechure = vgg11, prune_ratio = 20, bit = 4, direction = bl, acc = 0.4765
architechure = vgg11, prune_ratio = 20, bit = 5, direction = bl, acc = 0.5799
architechure = vgg11, prune_ratio = 20, bit = 6, direction = bl, acc = 0.5638
architechure = vgg11, prune_ratio = 20, bit = 7, direction = bl, acc = 0.6029
architechure = vgg11, prune_ratio = 20, bit = 8, direction = bl, acc = 0.6061
architechure = vgg11, prune_ratio = 30, bit = 4, direction = bl, acc = 0.5197
architechure = vgg11, prune_ratio = 30, bit = 5, direction = bl, acc = 0.5625
architechure = vgg11, prune_ratio = 30, bit = 6, direction = bl, acc = 0.5432
architechure = vgg11, prune_ratio = 30, bit = 7, direction = bl, acc = 0.5972
architechure = vgg11, prune_ratio = 30, bit = 8, direction = bl, acc = 0.6016
architechure = vgg11, prune_ratio = 40, bit = 4, direction = bl, acc = 0.4742
architechure = vgg11, prune_ratio = 40, bit = 5, direction = bl, acc = 0.5514
architechure = vgg11, prune_ratio = 40, bit = 6, direction = bl, acc = 0.5482
architechure = vgg11, prune_ratio = 40, bit = 7, direction = bl, acc = 0.5837
architechure = vgg11, prune_ratio = 40, bit = 8, direction = bl, acc = 0.5928
architechure = vgg11, prune_ratio = 50, bit = 4, direction = bl, acc = 0.4871
architechure = vgg11, prune_ratio = 50, bit = 5, direction = bl, acc = 0.5598
architechure = vgg11, prune_ratio = 50, bit = 6, direction = bl, acc = 0.5558
architechure = vgg11, prune_ratio = 50, bit = 7, direction = bl, acc = 0.586
architechure = vgg11, prune_ratio = 50, bit = 8, direction = bl, acc = 0.5929
architechure = vgg11, prune_ratio = 10, bit = 4, direction = br, acc = 0.4754
architechure = vgg11, prune_ratio = 10, bit = 5, direction = br, acc = 0.5693
architechure = vgg11, prune_ratio = 10, bit = 6, direction = br, acc = 0.5584
architechure = vgg11, prune_ratio = 10, bit = 7, direction = br, acc = 0.5951
architechure = vgg11, prune_ratio = 10, bit = 8, direction = br, acc = 0.6006
architechure = vgg11, prune_ratio = 20, bit = 4, direction = br, acc = 0.4373
architechure = vgg11, prune_ratio = 20, bit = 5, direction = br, acc = 0.5623
architechure = vgg11, prune_ratio = 20, bit = 6, direction = br, acc = 0.5365
architechure = vgg11, prune_ratio = 20, bit = 7, direction = br, acc = 0.5887
architechure = vgg11, prune_ratio = 20, bit = 8, direction = br, acc = 0.5924
architechure = vgg11, prune_ratio = 30, bit = 4, direction = br, acc = 0.4997
architechure = vgg11, prune_ratio = 30, bit = 5, direction = br, acc = 0.5432
