architechure = vgg11, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8031
architechure = vgg11, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8456
architechure = vgg11, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8292
architechure = vgg11, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8475
architechure = vgg11, prune_ratio = 10, bit = 8, direction = bl, acc = 0.849
architechure = vgg11, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8238
architechure = vgg11, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8583
architechure = vgg11, prune_ratio = 20, bit = 6, direction = bl, acc = 0.8515
architechure = vgg11, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8592
architechure = vgg11, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8603
architechure = vgg11, prune_ratio = 30, bit = 4, direction = bl, acc = 0.854
architechure = vgg11, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8723
architechure = vgg11, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8655
architechure = vgg11, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8728
architechure = vgg11, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8712
architechure = vgg11, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8715
architechure = vgg11, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8827
architechure = vgg11, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8772
architechure = vgg11, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8818
architechure = vgg11, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8844
architechure = vgg11, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = bl, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8822
architechure = vgg11, prune_ratio = 10, bit = 4, direction = br, acc = 0.7843
architechure = vgg11, prune_ratio = 10, bit = 5, direction = br, acc = 0.8364
architechure = vgg11, prune_ratio = 10, bit = 6, direction = br, acc = 0.816
architechure = vgg11, prune_ratio = 10, bit = 7, direction = br, acc = 0.8363
architechure = vgg11, prune_ratio = 10, bit = 8, direction = br, acc = 0.8397
architechure = vgg11, prune_ratio = 20, bit = 4, direction = br, acc = 0.8108
architechure = vgg11, prune_ratio = 20, bit = 5, direction = br, acc = 0.8526
architechure = vgg11, prune_ratio = 20, bit = 6, direction = br, acc = 0.8421
architechure = vgg11, prune_ratio = 20, bit = 7, direction = br, acc = 0.854
architechure = vgg11, prune_ratio = 20, bit = 8, direction = br, acc = 0.8549
architechure = vgg11, prune_ratio = 30, bit = 4, direction = br, acc = 0.8469
architechure = vgg11, prune_ratio = 30, bit = 5, direction = br, acc = 0.87
architechure = vgg11, prune_ratio = 30, bit = 6, direction = br, acc = 0.8614
architechure = vgg11, prune_ratio = 30, bit = 7, direction = br, acc = 0.8707
architechure = vgg11, prune_ratio = 30, bit = 8, direction = br, acc = 0.8701
architechure = vgg11, prune_ratio = 40, bit = 4, direction = br, acc = 0.8707
architechure = vgg11, prune_ratio = 40, bit = 5, direction = br, acc = 0.8828
architechure = vgg11, prune_ratio = 40, bit = 6, direction = br, acc = 0.878
architechure = vgg11, prune_ratio = 40, bit = 7, direction = br, acc = 0.8822
architechure = vgg11, prune_ratio = 40, bit = 8, direction = br, acc = 0.8844
architechure = vgg11, prune_ratio = 50, bit = 4, direction = br, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = br, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = br, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = br, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = br, acc = 0.8822
architechure = vgg11, prune_ratio = 10, bit = 4, direction = tl, acc = 0.4551
architechure = vgg11, prune_ratio = 10, bit = 5, direction = tl, acc = 0.636
architechure = vgg11, prune_ratio = 10, bit = 6, direction = tl, acc = 0.5796
architechure = vgg11, prune_ratio = 10, bit = 7, direction = tl, acc = 0.6479
architechure = vgg11, prune_ratio = 10, bit = 8, direction = tl, acc = 0.6596
architechure = vgg11, prune_ratio = 20, bit = 4, direction = tl, acc = 0.5806
architechure = vgg11, prune_ratio = 20, bit = 5, direction = tl, acc = 0.7256
architechure = vgg11, prune_ratio = 20, bit = 6, direction = tl, acc = 0.6801
architechure = vgg11, prune_ratio = 20, bit = 7, direction = tl, acc = 0.7321
architechure = vgg11, prune_ratio = 20, bit = 8, direction = tl, acc = 0.7363
architechure = vgg11, prune_ratio = 30, bit = 4, direction = tl, acc = 0.7817
architechure = vgg11, prune_ratio = 30, bit = 5, direction = tl, acc = 0.8105
architechure = vgg11, prune_ratio = 30, bit = 6, direction = tl, acc = 0.7904
architechure = vgg11, prune_ratio = 30, bit = 7, direction = tl, acc = 0.8191
architechure = vgg11, prune_ratio = 30, bit = 8, direction = tl, acc = 0.8197
architechure = vgg11, prune_ratio = 40, bit = 4, direction = tl, acc = 0.8555
architechure = vgg11, prune_ratio = 40, bit = 5, direction = tl, acc = 0.8703
architechure = vgg11, prune_ratio = 40, bit = 6, direction = tl, acc = 0.8597
architechure = vgg11, prune_ratio = 40, bit = 7, direction = tl, acc = 0.8671
architechure = vgg11, prune_ratio = 40, bit = 8, direction = tl, acc = 0.8708
architechure = vgg11, prune_ratio = 50, bit = 4, direction = tl, acc = 0.8736
architechure = vgg11, prune_ratio = 50, bit = 5, direction = tl, acc = 0.881
architechure = vgg11, prune_ratio = 50, bit = 6, direction = tl, acc = 0.8758
architechure = vgg11, prune_ratio = 50, bit = 7, direction = tl, acc = 0.8812
architechure = vgg11, prune_ratio = 50, bit = 8, direction = tl, acc = 0.8822
architechure = vgg11, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1119
architechure = vgg11, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1375
architechure = vgg11, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1283
